Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Plug-in Hybrid Electric Vehicle (PHEV),KMHC65LD5L,120484038,2020,HYUNDAI,Ioniq,Passenger,29,Used,Registration Renewal,July 15 2022,2022,King,SEATTLE,WA,98103
Battery Electric Vehicle (BEV),KM8K53AG6P,251356024,2023,HYUNDAI,Kona Electric,Passenger,0,New,Original Title,July 19 2023,2023,King,RENTON,WA,98057
Plug-in Hybrid Electric Vehicle (PHEV),YV4BK0DP5M,255237377,2021,VOLVO,XC60,Passenger,18,Used,Original Registration,September 25 2023,2023,King,SEATTLE,WA,98112
Plug-in Hybrid Electric Vehicle (PHEV),WMZ23BS03M,133877362,2021,MINI,Countryman,Passenger,17,Used,Registration Renewal,October 26 2023,2023,King,SHORELINE,WA,98177
Plug-in Hybrid Electric Vehicle (PHEV),KM8JBDA21N,209131401,2022,HYUNDAI,Tucson,Passenger,33,New,Original Registration,July 15 2022,2022,Clark,VANCOUVER,WA,98661
Battery Electric Vehicle (BEV),KNDCC3LG1M,161918550,2021,KIA,Niro,Passenger,0,New,Original Title,July 26 2021,2021,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),KNDCR3LF2R,259142467,2024,KIA,Niro,Passenger,33,New,Original Title,December 15 2023,2023,King,ISSAQUAH,WA,98027
Plug-in Hybrid Electric Vehicle (PHEV),KMHE54L20H,181030993,2017,HYUNDAI,Sonata,Passenger,27,Used,Registration at time of Transfer,September 20 2023,2023,Thurston,LACEY,WA,98503
Plug-in Hybrid Electric Vehicle (PHEV),5LMYJ9YY9P,266711007,2023,LINCOLN,Aviator,Passenger,21,New,Original Registration,April 10 2024,2024,King,RENTON,WA,98059
Plug-in Hybrid Electric Vehicle (PHEV),JHMZC5F39K,100911611,2019,HONDA,Clarity,Passenger,47,Used,Registration Renewal,February 14 2022,2022,King,ISSAQUAH,WA,98027
Battery Electric Vehicle (BEV),JTMAAAAA6R,264843785,2024,TOYOTA,bZ4X,Passenger,0,New,Original Registration,April 29 2024,2024,Thurston,OLYMPIA,WA,98516
Plug-in Hybrid Electric Vehicle (PHEV),WAUSPBFF4J,199293846,2018,AUDI,A3,Passenger,16,New,Original Registration,June 28 2018,2018,King,SEATTLE,WA,98105
Plug-in Hybrid Electric Vehicle (PHEV),1G1RE6E42C,302472446,2012,CHEVROLET,Volt,Passenger,35,Used,Original Title,August 10 2018,2018,Clark,VANCOUVER,WA,98663
Battery Electric Vehicle (BEV),WA1VCBGE1N,226164606,2022,AUDI,e-tron,Passenger,0,New,Original Title,December 14 2022,2022,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),4JGDA6DB7G,477624465,2016,MERCEDES-BENZ,GLE-Class,Passenger,10,Used,Registration Renewal,August 09 2021,2021,Snohomish,EDMONDS,WA,98026
Plug-in Hybrid Electric Vehicle (PHEV),JTMCB3FV1N,220221186,2022,TOYOTA,RAV4 Prime,Passenger,42,Used,Registration Renewal,October 12 2023,2023,King,SEATTLE,WA,98126
